,0,0
0,"Mi Redmi 8 Smartphone (Onyx Black, 4GB RAM, 64GB Storage)","₹10,944"
1,"MI Poco M2 Pro (Two Shades of Black, 6GB RAM, 64GB Storage)","₹11,999"
2,"Mi Redmi 8 Phone (Sapphire Blue, 4GB RAM, 64GB Storage)","₹12,790"
3,"(Renewed) Mi Redmi 6 (Gold, 32 GB)","₹17,999"
4,"MI Poco M2 (Brick Red, 6GB RAM, 64GB Storage)","₹10,999"
5,"MI Poco M2 Pro (Out of The Blue, 6GB RAM, 64GB Storage)","₹11,999"
6,"MI Poco M2 Pro (Out of The Blue, 4GB RAM, 64GB Storage)","₹5,499"
7,"Mi Redmi 5 (Black, 3GB RAM, 32GB Storage)","₹7,999"
8,"Mi Redmi 5 (Gold, 3GB RAM, 32GB Storage)","₹10,949"
9,"Mi Redmi -Note 7S (Sapphire Blue, 64GB, 4GB RAM)","₹12,999"
10,"(Renewed) Mi Redmi Note 6 Pro (Red, 64 GB, 4 GB RAM)","₹12,799"
11,"MI Poco M2 (Pitch Black, 6GB RAM, 64GB Storage)","₹17,999"
12,"Mi Redmi 8 Ruby Red, 4GB RAM, 64GB Storage Smartphone","₹12,730"
13,"Mi 6 Pro (Gold, 3Gb Ram, 32Gb Storage)","₹16,999"
14,"MI Poco M2 Pro (Green and Greener, 4GB RAM, 64GB Storage)","₹7,499"
15,"MI REDMI 9i Sport (Coral Green, 64 GB) (4 GB RAM)","₹12,999"
